Name Mass Radius Orbit Smass Distance Habitable Method Year
"HD 125595 b" 13.35 4.06 0.08 0.76 27.4 0 "radial velocity" 2009
"HD 125612 b" 953.82 11.56 1.22 1.1 52.82 0 "radial velocity" 2007
"HD 125612 c" 18.44 4.53 0.05 1.1 52.82 0 "radial velocity" 2009
"HD 125612 d" 2289.17 11.67 4.03 1.1 52.82 0 "radial velocity" 2009
"HD 126525 b" 71.22 7.04 1.8 0.88 38.1 0 "radial velocity" 2011
"HD 126614 b" 120.82 8.22 2.14 1.15 72.4 0 "radial velocity" 2010
"HD 128311 b" 693.11 11.34 1.06 0.84 16.6 0 "radial velocity" 2002
"HD 128311 c" 1332.17 11.67 1.73 0.84 16.6 0 "radial velocity" 2005
"HD 128356 b" 282.97 10.05 0.71 0.65 26.03 0 "radial velocity" 2016
"HD 129445 b" 508.7 11 2.07 0.99 67.61 0 "radial velocity" 2010
"HD 130322 b" 333.84 10.36 0.09 0.79 30 0 "radial velocity" 1999
"HD 131496 b" 699.47 11.35 2.06 1.61 110 0 "radial velocity" 2011
"HD 132406 b" 1783.64 11.68 1.86 1.09 71 0 "radial velocity" 2007
"HD 132563 B b" 473.73 10.91 2.56 1.01 96 0 "radial velocity" 2011
"HD 133131 A b" 454.65 10.85 1.36 0.95 47 0 "radial velocity" 2016
"HD 133131 A c" 152.61 8.75 3.85 0.95 47 0 "radial velocity" 2016
"HD 133131 B b" 794.85 11.45 5.01 0.93 47 0 "radial velocity" 2016
"HD 134060 b" 11.16 3.83 0.04 1.09 24.2 0 "radial velocity" 2011
"HD 134060 c" 47.91 6.21 1.47 1.09 24.2 0 "radial velocity" 2011
"HD 134113 b" 14943.18 9.41 0.64 0.81 71.9 0 "radial velocity" 2016
"HD 134606 b" 9.28 1.95 0.1 0.98 26.5 0 "radial velocity" 2011
"HD 134606 c" 12.15 3.94 0.28 0.98 26.5 0 "radial velocity" 2011
"HD 134606 d" 38.47 5.78 1.03 0.98 26.5 0 "radial velocity" 2011
"HD 134987 b" 505.52 10.99 0.79 1.07 22.2 0 "radial velocity" 1999
"HD 134987 c" 260.71 9.89 5.76 1.07 22.2 0 "radial velocity" 2009
"HD 136352 b" 5.28 1.68 0.09 0.81 14.8 0 "radial velocity" 2011
"HD 136352 c" 11.38 3.85 0.16 0.81 14.8 0 "radial velocity" 2011
"HD 136352 d" 9.54 1.96 0.37 0.81 14.8 0 "radial velocity" 2011
"HD 136418 b" 635.88 11.26 1.28 1.33 98.2 0 "radial velocity" 2010
"HD 137388 b" 70.9 7.03 0.83 0.86 38 0 "radial velocity" 2011
"HD 139357 b" 3103.09 11.58 2.35 1.35 121.4 0 "radial velocity" 2009
"HD 141399 b" 143.39 8.61 0.41 1.07 36.17 0 "radial velocity" 2014
"HD 141399 c" 422.86 10.74 0.69 1.07 36.17 0 "radial velocity" 2014
"HD 141399 d" 375.17 10.56 2.08 1.07 36.17 0 "radial velocity" 2014
"HD 141399 e" 209.84 9.45 4.83 1.07 36.17 0 "radial velocity" 2014
"HD 141937 b" 3084.02 11.58 1.39 1.1 33.46 0 "radial velocity" 2002
"HD 142022 A b" 9347.44 10.34 2.57 0.99 35.87 0 "radial velocity" 2005
"HD 142245 b" 604.09 11.21 2.62 1.69 109.5 0 "radial velocity" 2011
"HD 142415 b" 515.06 11.02 0.91 1.09 34.2 0 "radial velocity" 2003
"HD 143105 b" 384.71 10.6 0.04 1.51 48.7 0 "radial velocity" 2016
"HD 143361 b" 991.97 11.58 1.98 0.95 59.35 0 "radial velocity" 2008
"HD 143761 b" 332.25 10.35 0.22 0.89 17.24 0 "radial velocity" 2016
"HD 143761 c" 25.12 5.02 0.41 0.89 17.24 0 "radial velocity" 2016
"HD 145377 b" 1831.33 11.68 0.43 1.12 57.7 0 "radial velocity" 2008
"HD 145457 b" 922.03 11.54 0.76 1.9 126 0 "radial velocity" 2010
"HD 147018 b" 674.03 11.32 0.21 0.93 42.96 0 "radial velocity" 2009
"HD 147018 c" 2085.69 11.68 1.9 0.93 42.96 0 "radial velocity" 2009
"HD 147379 b" 24.7 4.99 0.32 0.58 10.73 0 "radial velocity" 2017
"HD 147513 b" 384.71 10.6 1.27 0.92 12.9 0 "radial velocity" 2003
"HD 147873 b" 1634.21 11.68 0.51 1.38 104.93 0 "radial velocity" 2016
"HD 147873 c" 731.26 11.39 1.32 1.38 104.93 0 "radial velocity" 2016
"HD 148156 b" 270.25 9.96 2.09 1.22 53.05 0 "radial velocity" 2009
"HD 148427 b" 305.22 10.19 0.92 1.45 59.3 0 "radial velocity" 2009
"HD 149026 b" 113.5 8.04 0.04 1.3 78.9 0 "primary transit" 2005
"HD 149143 b" 422.86 11.76 0.05 1.1 63 0 "radial velocity" 2005
"HD 150433 b" 53.41 6.43 1.93 0.8 29.6 0 "radial velocity" 2011
"HD 150706 b" 861.62 11.5 6.2 0.94 27.2 0 "radial velocity" 2002
"HD 152079 b" 953.82 11.56 2.56 1.02 85.17 0 "radial velocity" 2010
"HD 152581 b" 476.91 10.92 1.44 0.93 186 0 "radial velocity" 2011
"HD 153950 b" 867.98 11.51 1.2 1.12 49.6 0 "radial velocity" 2008
"HD 154088 b" 6.14 1.75 0.12 0.88 17.8 0 "radial velocity" 2011
"HD 154345 b" 413.32 10.71 4.15 0.88 18.06 0 "radial velocity" 2006
"HD 154672 b" 1596.06 11.68 0.48 1.06 65.8 0 "radial velocity" 2008
"HD 154857 b" 712.19 11.36 1.15 1.72 64.2 0 "radial velocity" 2004
"HD 154857 c" 820.29 11.47 5.35 1.72 64.2 0 "radial velocity" 2014
"HD 155233 b" 826.64 11.48 2 1.5 75.1 0 "radial velocity" 2015
"HD 155358 b" 270.25 9.96 0.63 0.92 43 0 "radial velocity" 2007
"HD 155358 c" 260.71 9.89 1.01 0.92 43 0 "radial velocity" 2007
"HD 156279 b" 3087.2 11.58 0.35 0.93 36.6 0 "radial velocity" 2011
"HD 156411 b" 235.28 9.69 1.83 1.25 55.1 0 "radial velocity" 2009
"HD 156668 b" 4.17 1.58 0.05 0.77 24.5 0 "radial velocity" 2010
"HD 157172 b" 38.15 5.77 0.37 0.87 31.9 0 "radial velocity" 2011
"HD 158038 b" 572.29 11.15 1.45 1.65 103.6 0 "radial velocity" 2011
"HD 158996 b" 4451.16 11.34 2.08 1.8 294.1 0 "radial velocity" 2018
"HD 159243 b" 359.27 10.48 0.11 1.12 69.2 0 "radial velocity" 2013
"HD 159243 c" 604.09 11.21 0.8 1.12 69.2 0 "radial velocity" 2013
"HD 159868 b" 667.67 11.31 2.25 1.09 52.7 0 "radial velocity" 2007
"HD 159868 c" 232.1 9.66 0.99 1.09 52.7 0 "radial velocity" 2012
"HD 160508 b" 15261.12 9.37 0.55 1.25 92.3 0 "radial velocity" 2016
"HD 162004 b" 486.45 10.94 4.06 1.19 22.16 0 "radial velocity" 2015
"HD 162020 b" 4578.34 11.32 0.07 0.75 31.26 0 "radial velocity" 2002
"HD 163296 b" 95.38 7.69 105 2.3 122 0 "other" 2016
"HD 163296 c" 95.38 7.69 160 2.3 122 0 "other" 2016
"HD 163607 b" 244.81 9.77 0.25 1.09 69 0 "radial velocity" 2011
"HD 163607 c" 728.08 11.38 2.4 1.09 69 0 "radial velocity" 2011
"HD 164509 b" 152.61 8.75 0.84 1.13 52 0 "radial velocity" 2011
"HD 164595 b" 16.41 4.35 0.23 0.99 28.93 0 "radial velocity" 2015
"HD 164604 b" 858.44 11.5 1.1 0.8 38 0 "radial velocity" 2010
"HD 164922 b" 107.62 7.96 2.1 0.87 22.13 0 "radial velocity" 2006
"HD 164922 c" 12.91 4.02 0.33 0.87 22.13 0 "radial velocity" 2016
"HD 165155 b" 918.85 11.54 1.11 1.02 64.98 0 "radial velocity" 2016
"HD 166724 b" 1122.33 11.63 3.68 0.32 42.3 0 "radial velocity" 2011
"HD 167042 b" 508.7 11 1.3 1.64 50 0 "radial velocity" 2007
"HD 168443 b" 2435.1 11.66 0.25 0.99 37.38 0 "radial velocity" 1998
"HD 168443 c" 9367.47 10.33 2.77 0.99 37.38 0 "radial velocity" 2001
"HD 168746 b" 73.13 7.1 0.06 0.88 43.12 0 "radial velocity" 2002
"HD 169142 b" 9538.2 10.3 22.7 1.65 117 0 "imaging" 2014
"HD 169830 b" 915.67 11.54 0.77 1.4 36.32 0 "radial velocity" 2000
"HD 169830 c" 1284.48 11.66 3.4 1.4 36.32 0 "radial velocity" 2003
"HD 170469 b" 213.02 9.48 2.23 1.14 64.97 0 "radial velocity" 2007
"HD 171028 b" 629.52 11.25 1.07 0.99 90 0 "radial velocity" 2007
"HD 171238 b" 826.64 11.48 2.33 0.94 50.28 0 "radial velocity" 2009
"HD 173416 b" 858.44 11.5 1.13 2 135 0 "radial velocity" 2009
"HD 175167 b" 2479.93 11.65 2.02 1.1 67.02 0 "radial velocity" 2010
"HD 175370 b" 1462.52 11.68 0.96 1.02 272 0 "radial velocity" 2016
"HD 175541 b" 193.94 9.28 0.97 1.65 128 0 "radial velocity" 2007
"HD 175607 b" 9 1.93 0.16 0.71 45.27 0 "radial velocity" 2015
"HD 176051 b" 476.91 10.92 1.76 0.9 14.99 0 "astrometry" 2010
"HD 176986 b" 5.75 1.72 0.06 0.79 26.4 0 "radial velocity" 2017
"HD 176986 c" 9.19 1.94 0.12 0.79 26.4 0 "radial velocity" 2017
"HD 177830 b" 473.73 10.91 1.22 1.47 59 0 "radial velocity" 1999
"HD 177830 c" 47.69 6.2 0.48 1.47 59 0 "radial velocity" 2010
"HD 178911 B b" 2000.48 11.68 0.32 1.07 46.73 0 "radial velocity" 2001
"HD 179079 b" 25.44 5.04 0.11 1.09 63.69 0 "radial velocity" 2009
"HD 179949 b" 292.5 11.76 0.04 1.28 27 0 "radial velocity" 2000
"HD 180314 b" 6994.68 10.81 1.35 2.6 132 0 "radial velocity" 2010
"HD 180777 b" 7948.5 10.61 0.22 1.7 27.3 0 "radial velocity" 2006
"HD 180902 b" 508.7 11 1.38 1.52 110 0 "radial velocity" 2010
"HD 181342 b" 922.03 11.54 1.64 1.84 110.6 0 "radial velocity" 2010
"HD 181433 b" 7.57 1.85 0.07 0.78 26.15 0 "radial velocity" 2008
"HD 181433 c" 203.48 9.38 1.69 0.78 26.15 0 "radial velocity" 2008
"HD 181433 d" 171.69 9.01 2.63 0.78 26.15 0 "radial velocity" 2008
"HD 181720 b" 3853.43 11.46 1.72 0.92 56 0 "radial velocity" 2009
"HD 183263 b" 1166.84 11.64 1.41 1.17 53 0 "radial velocity" 2004
"HD 183263 c" 1214.53 11.65 4.11 1.17 53 0 "radial velocity" 2008
"HD 185269 b" 298.86 10.16 0.07 1.28 47 0 "radial velocity" 2006
"HD 187085 b" 238.46 9.71 1.81 1.22 44.98 0 "radial velocity" 2006
"HD 187123 b" 165.33 8.93 0.04 1.06 50 0 "radial velocity" 1998
"HD 187123 c" 632.7 11.25 4.73 1.06 50 0 "radial velocity" 1998
"HD 188015 b" 400.6 10.66 1.18 1.09 52.6 0 "radial velocity" 2004
"HD 189567 b" 10.05 3.7 0.11 0.87 17.7 0 "radial velocity" 2011
"HD 189733 b" 363.09 12.75 0.03 0.8 19.3 0 "primary transit" 2005
"HD 190360 b" 475.32 10.91 3.68 1.04 15.89 0 "radial velocity" 2003
"HD 190360 c" 20.29 4.67 0.13 1.04 15.89 0 "radial velocity" 2005
"HD 190647 b" 604.09 11.21 2.04 1.1 54.2 0 "radial velocity" 2007
"HD 190984 b" 985.61 11.58 4.52 0.91 103 0 "radial velocity" 2009
"HD 192263 b" 233.05 9.67 0.15 0.81 19.9 0 "radial velocity" 1999
"HD 192699 b" 794.85 11.45 1.15 1.68 67 0 "radial velocity" 2007
"HD 195019 b" 1176.38 11.64 0.14 1.06 37.36 0 "radial velocity" 1998
"HD 196050 b" 899.77 11.53 2.41 1.17 46.9 0 "radial velocity" 2002
"HD 196067 b" 2193.79 11.67 3.77 1.28 44.3 0 "radial velocity" 2011
"HD 196885 A b" 947.46 11.56 2.28 1.33 33 0 "radial velocity" 2007
"HD 197037 b" 251.17 9.82 2.02 1.11 33 0 "radial velocity" 2012
"HD 200964 b" 588.19 11.18 1.6 1.44 68.4 0 "radial velocity" 2010
"HD 200964 c" 284.56 10.06 1.92 1.44 68.4 0 "radial velocity" 2010
"HD 202206 c" 5691.13 11.08 2.35 1.13 46.34 0 "radial velocity" 2004
"HD 203030 b" 3497.34 11.52 487 0.97 41 0 "imaging" 2017
"HD 204313 b" 1360.78 11.67 3.15 1.04 47.37 0 "radial velocity" 2009
"HD 204313 c" 17.58 4.45 0.21 1.04 47.37 0 "radial velocity" 2011
"HD 204313 d" 534.14 11.06 3.77 1.04 47.37 0 "radial velocity" 2012
"HD 204941 b" 84.57 7.42 2.38 0.74 27 0 "radial velocity" 2011
"HD 205739 b" 435.58 10.79 0.86 1.22 90.3 0 "radial velocity" 2008
"HD 206610 b" 699.47 11.35 1.64 1.56 194 0 "radial velocity" 2010
"HD 206893 b" 7153.65 10.77 10 1.24 38.34 0 "imaging" 2016
"HD 207832 b" 178.05 9.09 0.57 0.94 54.4 0 "radial velocity" 2012
"HD 207832 c" 232.1 9.66 2.03 0.94 54.4 0 "radial velocity" 2012
"HD 208487 b" 131.31 8.41 0.5 1.3 45 0 "radial velocity" 2004
"HD 208527 b" 3147.61 11.57 2.09 1.6 320.2 0 "radial velocity" 2012
"HD 208897 b" 445.12 10.82 1.05 1.25 64.68 0 "radial velocity" 2017
"HD 209458 b" 219.38 15.46 0.05 1.15 47 0 "primary transit" 1999
"HD 210277 b" 391.07 10.62 0.97 1.09 21.29 0 "radial velocity" 1998
"HD 210702 b" 604.09 11.21 1.19 1.68 56 0 "radial velocity" 2007
"HD 211847 b" 6104.45 10.99 5.46 0.94 50.6 0 "radial velocity" 2011
"HD 212301 b" 127.18 11.98 0.04 1.05 52.7 0 "radial velocity" 2005
"HD 212771 b" 731.26 11.39 1.21 1.15 131 0 "radial velocity" 2010
"HD 213240 b" 1430.73 11.68 1.81 1.22 40.75 0 "radial velocity" 2001
"HD 215152 b" 2 1.28 0.05 0.77 21.5 0 "radial velocity" 2018
"HD 215152 c" 1.53 1.18 0.07 0.77 21.5 0 "radial velocity" 2011
"HD 215152 d" 2.71 1.4 0.08 0.77 21.5 0 "radial velocity" 2011
"HD 215152 e" 3.47 1.5 0.15 0.77 21.5 0 "radial velocity" 2018
"HD 215456 b" 32.11 5.45 0.64 1 38 0 "radial velocity" 2011
"HD 215456 c" 78.21 7.25 3.33 1.01 38 0 "radial velocity" 2011
"HD 215497 b" 6.36 1.77 0.05 0.87 44 0 "radial velocity" 2009
"HD 215497 c" 104.92 7.9 1.12 0.87 44 0 "radial velocity" 2009
"HD 216435 b" 400.6 10.66 2.55 1.3 33.3 0 "radial velocity" 2002
"HD 216437 b" 578.65 11.16 2.22 1.06 26.5 0 "radial velocity" 2002
"HD 216770 b" 206.66 9.41 0.43 0.9 38 0 "radial velocity" 2003
"HD 217107 b" 422.86 10.74 0.07 1.02 19.72 0 "radial velocity" 1998
"HD 217107 c" 791.67 11.45 4.51 1.02 19.72 0 "radial velocity" 1998
"HD 217786 b" 4133.22 11.4 2.18 1.02 54.8 0 "radial velocity" 2010
"HD 218566 b" 66.77 6.9 0.66 0.85 29.94 0 "radial velocity" 2010
"HD 219077 b" 3303.4 11.55 3.97 1.05 29.35 0 "radial velocity" 2012
"HD 219134 b" 3.82 1.6 0.04 0.79 6.55 0 "primary transit" 2015
"HD 219134 c" 3.5 1.5 0.06 0.79 6.55 0 "radial velocity" 2015
"HD 219134 d" 21.3 4.75 0.24 0.79 6.55 0 "radial velocity" 2015
"HD 219134 e" 63.59 6.8 2.41 1.58 6.55 0 "radial velocity" 2015
"HD 219134 g" 10.81 3.79 0.38 0.8 6.55 0 "radial velocity" 2015
"HD 219134 h" 89.02 7.53 2.85 0.79 6.55 0 "radial velocity" 2015
"HD 219828 b" 21.02 4.73 0.04 1.24 81.1 0 "radial velocity" 2007
"HD 219828 c" 4800.89 11.27 3.48 1.24 81.1 0 "radial velocity" 2016
"HD 220074 b" 3529.13 11.51 1.58 1.2 290.2 0 "radial velocity" 2012
"HD 220689 b" 337.02 10.37 3.32 1.04 44.6 0 "radial velocity" 2011
"HD 220773 b" 461.01 10.87 4.25 1.16 49 0 "radial velocity" 2012
"HD 220842 b" 1011.05 11.59 0.68 1.13 62.5 0 "radial velocity" 2016
"HD 221287 b" 982.43 11.58 1.25 1.25 52.9 0 "radial velocity" 2007
"HD 222076 b" 495.99 10.97 1.82 1.07 83.5 0 "radial velocity" 2016
"HD 222155 b" 604.09 11.21 5.03 1.13 49.1 0 "radial velocity" 2012
"HD 222582 b" 2464.04 11.66 0.93 0.99 42 0 "radial velocity" 1999
"HD 224538 b" 1898.1 11.68 2.02 1.54 77.76 0 "radial velocity" 2016
"HD 224693 b" 225.74 9.6 0.23 1.33 94 0 "radial velocity" 2006
"HD 231701 b" 343.38 10.41 0.53 1.14 108.4 0 "radial velocity" 2007
"HD 238914 b" 1907.64 11.68 4.72 1.47 590 0 "radial velocity" 2018
"HD 240210 b" 2193.79 11.67 1.31 1.25 143 0 "radial velocity" 2009
"HD 240237 b" 1685.08 11.68 1.74 1.69 1500 0 "radial velocity" 2010
"HD 283668 b" 16978 9.14 2.7 0.68 42.3 0 "radial velocity" 2016
"HD 283869 b" 9.49 1.96 0.4 0.74 47.51 1 "primary transit" 2018
"HD 284149 b" 10174.08 10.18 400 1.14 108.2 0 "imaging" 2014
"HD 285507 b" 291.55 10.11 0.07 0.73 41.3 0 "radial velocity" 2013
"HD 286123 b" 126.54 11.2 0.1 1.19 133.1 0 "primary transit" 2018
"HD 290327 b" 807.57 11.46 3.42 0.9 54.9 0 "radial velocity" 2009
"HD 330075 b" 197.12 11.87 0.04 0.95 50.2 0 "radial velocity" 2004
"HIP 5158 b" 457.83 10.86 0.75 0.78 45 0 "radial velocity" 2009
"HIP 5158 c" 4781.82 11.27 7.62 0.78 45 0 "radial velocity" 2010
"HIP 8541 b" 1777.28 11.68 2.76 1.17 169 0 "radial velocity" 2016
"HIP 11915 b" 314.76 10.25 4.78 1 57.3 0 "radial velocity" 2015
"HIP 12961 b" 111.28 8.04 0.13 0.67 23 0 "radial velocity" 2009
"HIP 14810 b" 1233.61 11.65 0.07 0.99 52.9 0 "radial velocity" 2006
"HIP 14810 c" 406.96 10.69 0.54 0.99 52.9 0 "radial velocity" 2006
"HIP 14810 d" 181.23 9.13 1.86 0.99 52.9 0 "radial velocity" 2009
"HIP 41378 b" 4.8 2.91 0.13 1.15 116 0 "primary transit" 2016
"HIP 41378 c" 3.15 2.55 0.21 1.15 116 0 "primary transit" 2016
"HIP 41378 d" 12.3 3.95 0.6 1.15 116 0 "primary transit" 2016
"HIP 41378 e" 33.25 5.51 0.53 1.15 116 0 "primary transit" 2016
"HIP 41378 f" 304.86 10.19 0.97 1.15 116 0 "primary transit" 2016
"HIP 57050 b" 94.75 7.67 0.16 0.34 11 0 "radial velocity" 2010
"HIP 57274 b" 11.45 3.86 0.07 0.73 25.92 0 "radial velocity" 2011
"HIP 57274 c" 130.36 8.4 0.18 0.73 25.92 0 "radial velocity" 2011
"HIP 57274 d" 167.55 8.96 0.97 0.73 25.92 0 "radial velocity" 2011
"HIP 63242 b" 2918.69 11.61 0.55 1.54 135 0 "radial velocity" 2013
"HIP 64892 b" 10492.02 10.13 159 2.35 125 0 "imaging" 2018
"HIP 65407 b" 136.08 8.49 0.18 0.93 16.74 0 "radial velocity" 2016
"HIP 65407 c" 249.26 9.8 0.31 0.93 16.74 0 "radial velocity" 2016
"HIP 65426 b" 2861.46 16.8 92 1.96 11.1 0 "imaging" 2017
"HIP 65891 b" 1907.64 11.68 2.79 2.5 136 0 "radial velocity" 2015
"HIP 67537 b" 3529.13 11.51 4 2.41 112.6 0 "radial velocity" 2016
"HIP 67851 b" 438.76 10.8 0.46 1.63 65.96 0 "radial velocity" 2014
"HIP 67851 c" 1901.28 11.68 3.76 1.63 65.96 0 "radial velocity" 2015
"HIP 68468 b" 3.5 1.5 0.03 1.05 87.8 0 "radial velocity" 2016
"HIP 68468 c" 29.89 5.32 0.66 1.05 87.8 0 "radial velocity" 2016
"HIP 70849 b" 2861.46 11.61 8 0.63 24 0 "radial velocity" 2009
"HIP 73990 b" 6676.74 10.87 20 1.72 125 0 "imaging" 2015
"HIP 73990 c" 6994.68 10.81 32 1.72 125 0 "imaging" 2015
"HIP 74865 b" 8902.32 10.42 23 1.42 115 0 "imaging" 2015
"HIP 74890 b" 763.06 11.42 2.09 1.74 91.6 0 "radial velocity" 2016
"HIP 75458 b" 2985.46 11.6 0.89 1.4 31.5 0 "radial velocity" 2002
"HIP 78530 b" 7325.34 10.74 710 2.5 156.7 0 "imaging" 2011
"HIP 79431 b" 667.67 11.31 0.34 0.49 14.4 0 "radial velocity" 2010
"HIP 91258 b" 339.56 10.39 0.06 0.95 44.9 0 "radial velocity" 2013
"HIP 97233 b" 6358.8 10.94 2.02 1.93 106.5 0 "radial velocity" 2014
"HIP 105854 b" 2607.11 11.64 0.81 2.1 80.84 0 "radial velocity" 2014
"HIP 107773 b" 629.52 11.25 0.72 2.42 106 0 "radial velocity" 2015
"HIP 109384 b" 495.99 10.97 0.95 0.78 56.2 0 "radial velocity" 2016
"HIP 109600 b" 852.08 11.5 0.7 0.87 58.6 0 "radial velocity" 2016
"HIP 116454 b" 11.83 2.53 0.1 0.78 55.2 0 "primary transit" 2014
"HN Peg b" 5087.04 12.32 795 1 18.4 0 "imaging" 2007
"HR 810 b" 718.54 11.37 0.91 1.11 17.17 0 "radial velocity" 1999
"HR 2562 b" 9538.2 10.3 20.3 1.3 33.63 0 "imaging" 2016
"HR 8799 b" 2225.58 13.44 68 1.56 39.4 0 "imaging" 2008
"HR 8799 c" 3179.4 14.56 42.9 1.56 39.4 0 "imaging" 2008
"HR 8799 d" 3179.4 13.44 26.86 1.56 39.4 0 "imaging" 2008
"HR 8799 e" 2861.46 11.61 14.5 1.56 39.4 0 "imaging" 2010
"HW Vir(AB) b" 4546.54 11.32 4.3 0.63 181 0 "pulsar" 2008
"K2-3 b" 14.66 2.18 0.08 0.61 42 0 "transit" 2016
"K2-3 c" 7.59 1.85 0.14 0.61 42 0 "transit" 2016
"K2-3 d" 11.1 1.53 0.21 0.61 42 1 "transit" 2016
"K2-9 b" 16.77 2.25 0.09 0.3 110 1 "transit" 2016
"K2-10 b" 27 3.84 0.13 0.92 271 0 "transit" 2016
"K2-11 b" 89.63 7.55 0.23 1.35 2019 0 "transit" 2016
"K2-12 b" 19.53 2.33 0.08 1.01 294 0 "transit" 2016
"K2-13 b" 8.24 1.89 0.21 0.8 290 0 "transit" 2016
"K2-14 b" 22.12 4.81 0.06 0.47 219 0 "transit" 2016
"K2-15 b" 25.93 2.48 0.09 0.72 437 0 "transit" 2016
"K2-16 b" 10.72 2.02 0.07 0.68 324 0 "transit" 2016
"K2-16 c" 3.09 2.54 0.12 0.68 324 0 "transit" 2016
"K2-17 b" 16.14 2.23 0.12 0.71 134 0 "transit" 2016
"K2-18 b" 16.46 2.24 0.15 0.41 34 1 "transit" 2016
"K2-18 c" 7.5 1.84 0.05 0.41 34 0 "radial velocity" 2017
"K2-19 b" 97.56 7.74 0.07 0.93 291 0 "transit" 2016
"K2-19 c" 22.81 4.86 0.1 0.93 291 0 "transit" 2016
"K2-19 d" 1.35 1.14 0.03 0.93 291 0 "transit" 2016
"K2-21 b" 4.31 1.59 0.07 0.64 65 0 "transit" 2016
"K2-21 c" 8.77 1.92 0.1 0.64 65 0 "transit" 2016
"K2-22 b" 444.96 2.5 0.01 0.6 225 0 "transit" 2016
"K2-24 b" 39.44 5.83 0.15 1.12 181 0 "transit" 2016
"K2-24 c" 114.42 8.1 0.25 1.12 181 0 "transit" 2016
"K2-25 b" 7.99 3.43 0.03 0.29 45.7 0 "transit" 2016
"K2-26 b" 3.64 2.67 0.1 0.56 93 0 "transit" 2016
"K2-28 b" 19.17 2.32 0.02 0.26 53 0 "transit" 2016
"K2-29 b" 232.02 13.34 0.04 0.94 185 0 "transit" 2016
"K2-30 b" 184.02 11.65 0.05 0.9 278 0 "transit" 2016
"K2-33 b" 1175.97 5.04 0.05 0.56 145 0 "transit" 2016
"K2-34 b" 559.38 15.13 0.04 1.28 377 0 "transit" 2016
"K2-65 b" 4.21 1.58 0.1 0.87 78.06 0 "transit" 2016
"K2-72 b" 2.05 1.29 0.05 0.41 55.52 0 "transit" 2016
"K2-72 c" 3.17 1.46 0.09 0.41 55.52 0 "transit" 2016
"K2-72 d" 1.84 1.25 0.06 0.41 55.52 0 "transit" 2016
"K2-72 e" 2.73 1.4 0.12 0.41 55.52 1 "transit" 2016
"K2-99 b" 308.4 14.45 0.16 1.6 604 0 "primary transit" 2016
"K2-105 b" 29.89 3.58 0.08 1.01 220 0 "primary transit" 2017
"K2-106 b" 8.36 1.52 0.01 0.93 253 0 "primary transit" 2016
"K2-106 c" 5.72 2.46 0.1 0.93 253 0 "primary transit" 2016
"K2-108 b" 59.45 5.28 0.06 1.12 262.4 0 "primary transit" 2016
"K2-110 b" 16.69 2.59 0.1 0.74 118 0 "primary transit" 2017
"K2-136 b" 0.83 0.99 0.07 0.74 59.4 0 "primary transit" 2017
"K2-136 c" 5.22 2.99 0.12 0.74 59.4 0 "primary transit" 2017
"K2-137 b" 222.56 0.88 0.01 0.46 95 0 "primary transit" 2017
"K2-138 b" 4.09 1.57 0.03 0.93 183 0 "primary transit" 2018
"K2-138 c" 3.02 2.52 0.04 0.93 183 0 "primary transit" 2018
"K2-138 d" 3.57 2.65 0.06 0.93 183 0 "primary transit" 2018
"K2-138 e" 7.04 3.29 0.08 0.93 183 0 "primary transit" 2018
"K2-138 f" 4.29 2.81 0.1 0.93 183 0 "primary transit" 2018
"K2-139 b" 121.14 9.09 0.18 0.92 152 0 "primary transit" 2017
"K2-141 b" 5.09 1.51 0.01 0.71 61 0 "primary transit" 2017
"K2-141 c" 7.31 6.94 0.07 0.71 61 0 "primary transit" 2018
"K2-216 b" 7.92 1.8 0.03 0.7 115.8 0 "primary transit" 2018
"kappa And b" 4451.16 13.44 55 2.8 51.6 0 "imaging" 2013
"kappa CrB b" 508.7 11 2.55 1.51 31.1 0 "radial velocity" 2007
"Kapteyn b" 4.8 1.64 0.16 0.28 3.91 1 "radial velocity" 2014
"Kapteyn c" 7 1.81 0.3 0.28 3.91 0 "radial velocity" 2014
"KELT-1 b" 8705.2 12.5 0.02 1.33 263 0 "primary transit" 2012
"KELT-2 A b" 472.46 14.63 0.05 1.31 128.9 0 "primary transit" 2012
"KELT-3 b" 450.84 14.93 0.04 1.28 178 0 "primary transit" 2012
"KELT-4 A b" 281.06 19.11 0.04 1.2 211 0 "radial velocity" 2013
"KELT-7 b" 410.14 17.17 0.04 1.53 129 0 "primary transit" 2015
"KELT-8 b" 277.88 20.83 0.05 1.21 236 0 "primary transit" 2015
"KELT-10 b" 215.88 15.67 0.05 1.11 183 0 "primary transit" 2015
"KELT-11 b" 62 15.34 0.06 1.44 98 0 "primary transit" 2016
"KELT-15 b" 292.5 16.16 0.05 1.18 201 0 "primary transit" 2015
"KELT-16 b" 874.34 15.85 0.02 1.21 365 0 "primary transit" 2016
"KELT-17 b" 416.5 17.08 0.05 1.64 210 0 "primary transit" 2015
"KELT-18 b" 375.17 17.58 0.05 1.52 311 0 "primary transit" 2017
"KELT-19 A b" 1294.02 21.39 0.06 1.62 255 0 "primary transit" 2017
"KELT-21 b" 1243.15 17.76 0.05 1.46 415 0 "primary transit" 2017
"Kepler-4 b" 26.21 4 0.05 1.22 550 0 "primary transit" 2010
"Kepler-8 b" 191.72 15.89 0.05 1.21 1330 0 "primary transit" 2010
